序号,品牌,判定,价格虚高风险,原因,数据来源
298,Airmiuu,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
299,TEKBER,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
300,CUCB,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
301,"哥伦布斯（COLUMBUS）,SHOEBOY`S",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
302,澳爸厨房,非假洋牌(国产),低,需进一步核实,规则推断·未核验
303,GRL,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
304,Turkey Hill Sugarbush,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
305,G7 COFFEE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
306,"世家兰铎（SegafredoZanetti）,拉瓦萨（LAVAZZA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
307,SHEVEU,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
308,玫丽素,非假洋牌(国产),低,需进一步核实,规则推断·未核验
309,CHUCHU,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
310,NEWMDER,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
311,mollale,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
312,"BACHA,ostte",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
313,LURSON,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
314,FARCOKO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
315,"LEXILIS,野付",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
316,Perfect potion,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
317,TAUPO PURE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
318,Ci,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
319,QAISAR,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
320,Kryolan,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
321,爱敬（AEKYUNG）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
322,SOEOS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
323,"哈奴曼,SOFFELL",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
324,"小李子（LEONARDO）,MACS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
325,"101CAFFE,AF 1870 SINCE 1870 ANTONIO FACCHIN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
326,"雨後の月,天美",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
327,DOFANKIN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
328,"SUMDOY,SKISGEM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
329,EXPRESSIONS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
330,"CCOKIO,倍思雅（pixysart）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
331,OIZ,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
332,Hero Baby,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
333,"大塚制药,大正",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
334,HOSIKA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
335,"SUNTTAUN,Rofagy",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
336,"萨摩隼人,貴",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
337,何太医（DR.HE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
338,诺崔特（Natur Top）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
339,"NORGATE,Kurmitay",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
340,Truefitt&Hill,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
341,"撒隆,绿情蓓（naturebud）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
342,"嘉加玩具（Plus-plus）,fischertechnik",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
343,拉薇（Lavera）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
344,"遊穗,樱正宗",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
345,挑咖,非假洋牌(国产),低,需进一步核实,规则推断·未核验
346,"锅岛,四万十川",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
347,AWNL,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
348,ROSIEN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
349,"科拿（Conaprole）,妙可（Mlekovita）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
350,Alpensalz,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
351,"猛虎通关,金老虎",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
352,"路特斯（LOTUS NYO）,COLIBRI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
353,"红印（Red seal）,red seal",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
354,MIFIKO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
355,KINCHO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
356,"SINANO1,クロスタニン　藻類DHAカプセル",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
357,BathSmell,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
358,"LOVE,AFARE,BONZ",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
359,克奈圃（Kneipp）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
360,‌JCPenney,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
361,AuRtOP,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
362,OUATE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
363,DU'IT,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
364,PS. PRETTYSKIN.,真洋牌,低-中,"韩国100%本土生产,母国真实",已联网核验
365,"Mamba,二宝（Nimm2）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
366,纪思梵,非假洋牌(国产),低,需进一步核实,规则推断·未核验
367,iFACE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
368,KoalaMan,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
369,"OLJ,Rewi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
370,ning,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
371,Artchic,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
372,"WOPUKA,SEDATE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
373,YIVIKII,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
374,lavy,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
375,PELLER ESTATES,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
376,BRUNO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
377,Oli6,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
378,卡洛塔妮,非假洋牌(国产),低,需进一步核实,规则推断·未核验
379,OVZ,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
380,MUTO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
381,SACELLEC BEAUTE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
382,Aromat Herbs,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
383,Hansen Living,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
384,IN ESSENCE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
385,"燃力士,PRIME",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
386,"尊马油,Dr.Select",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
387,"NUDE努德,田岛硝子",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
388,AIRBUGGY,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
389,oocoo,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
390,VITALESSENTIALS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
391,"Cornette,伊段（ＹＩＤＵＡＮ）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
392,"秀凤,龟泉",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
393,新生命凝胶,非假洋牌(国产),低,需进一步核实,规则推断·未核验
394,Henhut,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
395,CuteAngel,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
396,"PRIME,森永（Morinaga）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
397,"黑龙,大嶺（Ohmine）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
398,"残響,十四代",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
399,Indolen,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
400,MONDIAL 1908,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
401,SKATER,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
402,宝罗丝丹（BONOSIDAN）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
403,Aspinal of london,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
404,SHOPQA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
405,"101CAFFE,INSIUM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
406,"秀凤,卧龙梅",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
407,ARCHCAFE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
408,NOIROT,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
409,venTa,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
410,Mrs Rogers,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
411,valeve,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
412,Aldente,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
413,"Alter Schwede,SCILIO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
414,蔻吉,非假洋牌(国产),低,需进一步核实,规则推断·未核验
415,Boyer,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
416,KINU,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
417,"QUATTROCIOCCHI,DECARLO MASTRI OLEARI DAL 1600",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
418,sesderma,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
419,"Lamisil cream,Healthy Care",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
420,Yowwa,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
421,mling,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
422,"vieruodis,GOLF MADAM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
423,NOFROM,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
424,GH GREAT HOUSE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
425,TaubeChing,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
426,UGLI,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
427,SKISGEM,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
428,coulomb,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
429,"TINME,摩飞电器（Morphyrichards）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
